Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,My Review,Read Count
12117,"One, No One and One Hundred Thousand",Luigi Pirandello,0941419746,9780941419741,0,4.07,Marsilio Publishers,Paperback,160,1992,,20-03-22,to-read,,0
57789637,"Daughter of the Moon Goddess (The Celestial Kingdom Duology, #1)",Sue Lynn Tan,0063031302,9780063031302,0,4.19,Harper Voyager,Hardcover,512,2022,,11-03-22,to-read,,0
55004093,The Cartographers,Peng Shepherd,0062910698,9780062910691,0,3.74,William Morrow,Hardcover,392,2022,,11-03-22,to-read,,0
55697964,My Garden of Flowers and Broken Pieces,Nika Erčulj,,9798686494008,5,4.32,Independently published,Paperback,176,2020,09-03-22,26-05-21,breakfast-at-tiffany-s,,1
31344044,Fashionpedia - The Visual Dictionary Of Fashion Design,Fashionary,9881354765,9789881354761,0,4.63,Fashionary,Hardcover,336,2016,,09-03-22,holly-golightly,,1
55821243,Textilepedia: The Complete Fabric Guide,Fashionary,,9789887711094,0,4.6,Fashionary,Hardcover,248,2020,,04-03-22,to-read,,0
43822024,"The Toll (Arc of a Scythe, #3)",Neal Shusterman,1481497065,9781481497060,3,4.22,Simon & Schuster Books for Young Readers,Hardcover,625,2019,21-02-22,23-02-20,holly-golightly,,1
25814238,On Fire: The 7 Choices to Ignite a Radically Inspired Life,John O'Leary,1501117726,9781501117725,4,4.41,Gallery Books,Hardcover,288,2016,19-02-22,18-02-22,holly-golightly,,2
36470842,I Have Lost My Way,Gayle Forman,1471173720,,2,3.7,Penguin Teen,Paperback,368,2018,24-12-20,20-12-20,mount-crumpit,Too contrived and cliché for my tastes. I was rushing to finish this book because it bored me to death. The book had an interesting plot but was executed poorly.,1
46194941,Know My Name,Chanel Miller,0241428289,9780241428283,4,4.72,Viking,Paperback,357,2019,18-02-22,19-10-20,breakfast-at-tiffany-s,"A very emotional read for me. This was tough to read through due to the nature of the book's content combined with the author's writing style. There were a few parts in the book that I did not care for, as I felt that they added no value or were out of context with the events the author was trying to describe. Nevertheless, I enjoyed reading this memoir and will remember her name.",1
13152194,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Cheryl Strayed,030794932X,9780307949325,0,4.29,Vintage,ebook,354,2012,,10-02-22,to-read,,0
40539018,I Miss You When I Blink: Essays,Mary Laura Philpott,1982102802,9781982102807,0,3.79,Atria Books,Hardcover,288,2019,,06-02-22,to-read,,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,030788743X,9780307887436,3,4.24,Crown Publishers,Hardcover,374,2011,30-01-22,19-04-20,mount-crumpit,,1
57145833,My Body,Emily Ratajkowski,1250817862,9781250817860,0,4.1,Metropolitan Books,Hardcover,239,2021,,30-01-22,to-read,,0
54860605,"Tokyo Ever After (Tokyo Ever After, #1)",Emiko Jean,,,0,3.98,Flatiron Books,Hardcover,336,2021,,06-01-22,to-read,,0
54985743,People We Meet on Vacation,Emily Henry,1984806750,9781984806758,0,4.01,Berkley Books,Paperback,364,2021,,17-10-21,to-read,,0
55780550,"Steelstriker (Skyhunter, #2)",Marie Lu,1250221722,9781250221728,0,3.98,Roaring Brook Press,Hardcover,400,2021,,09-09-21,to-read,,0
55711726,The People We Keep,Allison Larkin,1982171294,9781982171292,0,4.2,Gallery Books,Hardcover,368,2021,,23-08-21,to-read,,0
55711676,The Shimmering State,Meredith Westgate,1982156716,9781982156718,0,3.5,Atria Books,Hardcover,320,2021,,15-08-21,to-read,,0
54304262,The Last Garden in England,Julia  Kelly,1982107820,9781982107826,0,3.97,Gallery Books,Hardcover,368,2021,,31-07-21,to-read,,0
33224061,The Downstairs Girl,Stacey  Lee,,,0,4,Putnam,Hardcover,374,2019,,26-07-21,to-read,,0
30734547,Eat Beautiful: Nourish your skin from the inside out,Wendy Rowe,,,0,4.01,Ebury Digital,Kindle Edition,256,2016,,25-06-21,to-read,,0
28110143,"Furthermore (Furthermore, #1)",Tahereh Mafi,1101994762,9781101994764,0,3.91,Dutton Books for Young Readers,Hardcover,406,2016,,25-06-21,to-read,,0
31563982,"Whichwood (Furthermore, #2)",Tahereh Mafi,1101994797,9781101994795,0,3.96,Dutton Books for Young Readers,Hardcover,368,2017,,25-06-21,to-read,,0
40177418,Lost and Wanted,Nell Freudenberger,0385352689,9780385352680,0,3.44,Knopf Publishing Group,Hardcover,336,2019,,18-06-21,to-read,,0
611777,The Damn Good Resume Guide: A Crash Course in Resume Writing,Yana Parker,1580084443,9781580084444,0,3.91,Ten Speed Press,Paperback,80,2002,,24-12-17,to-read,,0
44107480,Lovely War,Julie Berry,,,0,4.25,Viking Books for Young Readers,Hardcover,471,2019,,27-03-21,to-read,,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,,,0,4.38,Avery,Kindle Edition,319,2018,,14-03-21,to-read,,0
9744812,Flourish: A Visionary New Understanding of Happiness and Well-Being,Martin E.P. Seligman,1439190755,9781439190753,3,3.84,Free Press,Hardcover,349,2011,07-03-21,26-12-20,mount-crumpit,,1
52761909,The Paris Library,Janet Skeslien Charles,1982134194,9781982134198,0,4.08,Atria Books,Hardcover,368,2021,,01-03-21,to-read,,0
41161349,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,1538732181,9781538732182,0,4.2,Grand Central Publishing,Paperback,329,2019,,19-02-21,to-read,,0
251688,Breakfast at Tiffany's and Three Stories,Truman Capote,,,0,3.89,Vintage Books,Paperback,142,1993,,03-02-21,to-read,,0
6990472,"If I Stay (If I Stay, #1)",Gayle Forman,014241543X,9780142415436,3,3.93,Speak,Paperback,261,2010,20-12-20,08-08-20,mount-crumpit,,1
62022,The Queen's Gambit,Walter Tevis,1400030609,9781400030606,0,4.21,Vintage,Paperback,258,2003,,13-12-20,to-read,,0
51822870,Everything Beautiful in Its Time: Seasons of Love and Loss,Jenna Bush Hager,0062960628,9780062960627,0,4.28,William Morrow,Hardcover,228,2020,,26-11-20,to-read,,0
